Fichier,N,Temps_Naif_ms,Temps_Welzl_ms,Rayon_Naif,Rayon_Welzl,Speedup,Correct
test-432.points,256,100.4346,0.0411,198.0,198.0,2443.6642335766423,true
test-433.points,256,75.8618,0.0369,199.0,199.0,2055.8753387533875,true
test-434.points,256,125.1568,0.0286,198.0,198.0,4376.111888111888,true
test-435.points,256,87.5133,0.0304,197.0,197.0,2878.7269736842104,true
test-436.points,256,99.1646,0.029,198.0,198.0,3419.468965517241,true
test-437.points,256,79.4124,0.0648,196.0,196.0,1225.5000000000002,true
test-438.points,256,74.5839,0.0641,198.0,198.0,1163.5553822152885,true
test-439.points,256,83.6193,0.0304,198.0,198.0,2750.6348684210525,true
test-44.points,256,88.9443,0.0349,195.0,195.0,2548.5472779369625,true
test-440.points,256,89.0882,0.0393,197.0,197.0,2266.875318066158,true
test-441.points,256,80.8731,0.063,197.0,197.0,1283.6999999999998,true
test-442.points,256,89.8833,0.0501,197.0,197.0,1794.0778443113775,true
test-443.points,256,96.2084,0.0337,195.0,195.0,2854.848664688427,true
test-444.points,256,96.226,0.0547,196.0,196.0,1759.1590493601464,true
test-445.points,256,86.4555,0.0667,199.0,199.0,1296.184407796102,true
test-446.points,256,94.6971,0.0263,198.0,198.0,3600.6501901140687,true
test-447.points,256,77.7156,0.0443,198.0,198.0,1754.3024830699774,true
test-448.points,256,83.2458,0.0293,197.0,197.0,2841.1535836177477,true
test-449.points,256,99.6168,0.0446,197.0,197.0,2233.560538116592,true
test-45.points,256,87.5798,0.0483,198.0,198.0,1813.2463768115942,true
test-450.points,256,81.3975,0.0367,198.0,198.0,2217.9155313351494,true
test-451.points,256,88.3471,0.0435,198.0,198.0,2030.967816091954,true
test-452.points,256,98.7172,0.0321,197.0,197.0,3075.302180685359,true
test-453.points,256,100.0056,0.0619,199.0,199.0,1615.599353796446,true
test-454.points,256,87.7116,0.0322,198.0,198.0,2723.962732919255,true
test-455.points,256,77.5135,0.0292,197.0,197.0,2654.571917808219,true
test-456.points,256,92.5314,0.0428,196.0,196.0,2161.948598130841,true
test-457.points,256,79.1794,0.0372,198.0,198.0,2128.478494623656,true
test-458.points,256,98.5537,0.0535,197.0,197.0,1842.12523364486,true
test-459.points,256,93.2532,0.0335,198.0,198.0,2783.6776119402984,true
test-46.points,256,117.1343,0.0548,198.0,198.0,2137.487226277372,true
test-460.points,256,77.5014,0.0472,200.0,200.0,1641.9788135593221,true
test-461.points,256,84.8573,0.0463,199.0,199.0,1832.7710583153346,true
test-462.points,256,94.4984,0.0298,199.0,199.0,3171.087248322148,true
test-463.points,256,107.6578,0.0647,199.0,199.0,1663.9536321483772,true
test-464.points,256,77.3232,0.0365,198.0,198.0,2118.4438356164383,true
test-465.points,256,81.3924,0.0572,198.0,198.0,1422.944055944056,true
test-466.points,256,92.8216,0.0386,198.0,198.0,2404.704663212435,true
test-467.points,256,85.109,0.027,196.0,196.0,3152.185185185185,true
test-468.points,256,100.9693,0.0447,197.0,197.0,2258.821029082774,true
test-469.points,256,94.7154,0.0502,197.0,197.0,1886.7609561752988,true
test-47.points,256,98.4068,0.0292,198.0,198.0,3370.095890410959,true
test-470.points,256,107.3358,0.0237,198.0,198.0,4528.93670886076,true
test-471.points,256,85.6707,0.0409,197.0,197.0,2094.638141809291,true
test-472.points,256,100.5877,0.0605,198.0,198.0,1662.6066115702479,true
test-473.points,256,90.5468,0.0508,197.0,197.0,1782.4173228346458,true
test-474.points,256,98.464,0.0237,198.0,198.0,4154.599156118144,true
test-475.points,256,99.4939,0.0482,197.0,197.0,2064.188796680498,true
test-476.points,256,87.2921,0.0508,199.0,199.0,1718.3484251968505,true
test-477.points,256,82.6334,0.0498,198.0,198.0,1659.305220883534,true
test-478.points,256,84.7882,0.0395,196.0,196.0,2146.5367088607595,true
test-479.points,256,96.0448,0.0988,198.0,198.0,972.1133603238866,true
test-48.points,256,93.381,0.0522,198.0,198.0,1788.9080459770114,true
test-480.points,256,97.5136,0.0314,198.0,198.0,3105.5286624203823,true
test-481.points,256,87.6279,0.0398,192.0,192.0,2201.7060301507536,true
test-482.points,256,79.9111,0.0346,198.0,198.0,2309.56936416185,true
test-483.points,256,97.2743,0.0304,196.0,196.0,3199.8125,true
test-484.points,256,86.9126,0.0301,196.0,196.0,2887.4617940199337,true
test-485.points,256,93.5688,0.0354,199.0,199.0,2643.186440677966,true
test-486.points,256,102.1906,0.0424,197.0,197.0,2410.1556603773583,true
test-487.points,256,91.0285,0.0275,196.0,196.0,3310.1272727272726,true
